"","Country","population_million","HDI_2018","log_pop_density","ages_65_up","BCG_policy","BCG_mean_coverage","urban_fraction","lat","long","Days_since_first_death","max_log_deaths_million","BCG_index","range_age_BCG","ISO3"
"93","Liechtenstein",0.0379,0.917,5.46806014113513,0.227032909358276,"current",0.915648736248404,0.14338,47.1667,9.5333,226,4.88224207932786,49.8622894093751,54.4556962025316,"LIE"
"94","Lithuania",2.8015,0.869,3.80666248977032,0.2,"current",0.9733333333,0.67679,56,24,240,4.59386251816414,72.9999999975,75,"LTU"
"95","Luxembourg",0.608,0.909,5.52146091786225,0.14,"interrupted",0.478,0.90981,49.75,6.1667,247,5.88665212683247,26.0298227848101,54.4556962025316,"LUX"
"96","Madagascar",26.2624,0.521,3.80666248977032,0.03,"current",0.7307692308,0.37191,-20,47,183,2.25332265940899,39.7945472266025,54.4556962025316,"MDG"
"97","Malawi",18.1433,0.485,5.25749537202778,0.03,"current",0.8928205128,0.16937,-13.5,34,223,2.32205447852413,48.6191626084253,54.4556962025316,"MWI"
"98","Malaysia",31.5286,0.804,4.56434819146784,0.07,"current",0.9768421053,0.76036,2.5,112.5,244,2.28244620648326,57.6336842127,59,"MYS"
"99","Maldives",0.5157,0.719,7.44949800538285,0.04,"current",0.83125,0.39808,3.25,73,201,4.42343019361879,45.2662974683544,54.4556962025316,"MDV"
"100","Mali",19.0777,0.427,2.77258872223978,0.03,"current",0.7566666667,0.42356,17,-4,232,2.00023977669754,41.2048101283975,54.4556962025316,"MLI"
"101","Malta",0.4846,0.885,7.32052696227274,0.2,"current",0.7982608696,0.94612,35.8333,14.5833,222,5.29914244910309,43.4698514053063,54.4556962025316,"MLT"
"102","Mauritania",4.4033,0.527,1.38629436111989,0.03,"current",0.8142424242,0.53672,20,-12,231,3.62359121408582,44.3401380874481,54.4556962025316,"MRT"
"103","Mauritius",1.2653,0.796,6.43454651878745,0.11,"current",0.9192105263,0.40793,-20.2833,57.55,240,2.06727584478096,50.056249166362,54.4556962025316,"MUS"
"104","Mexico",126.1908,0.767,4.17438726989564,0.07,"current",0.8535897436,0.80156,23,-102,242,6.66044308492706,58.8976923084,69,"MEX"
"105","Moldova",2.706,0.627,4.82028156560504,0.11,"current",0.9630769231,0.42629,47,29,243,6.61488608856424,72.2307692325,75,"MDA"
"106","Monaco",0.0387,0.956,9.86245720297814,0.188032809710383,"current",0.9488888889,1,43.7333,7.4,232,4.63821004006629,51.6724050638962,54.4556962025316,"MCO"
"107","Montenegro",0.6222,0.816,3.8286413964891,0.15,"current",0.9230769231,0.66813,42,19,238,6.44320125450397,50.2667964959013,54.4556962025316,"MNE"
"108","Morocco",36.0291,0.676,4.39444915467244,0.07,"current",0.9072972973,0.62453,32,-5,251,4.88765965331415,49.4075059871468,54.4556962025316,"MAR"
"109","Mozambique",29.496,0.446,3.63758615972639,0.03,"current",0.7918421053,0.35988,-18.25,35,175,1.3431331577805,43.1203131265899,54.4556962025316,"MOZ"
"110","Namibia",2.4483,0.645,1.09861228866811,0.04,"current",0.8743333333,0.50032,-22,17,129,4.03185977899603,47.6124303779316,54.4556962025316,"NAM"
"111","Nepal",28.0879,0.579,5.27811465923052,0.06,"current",0.7963414634,0.1974,28,84,184,3.77208659549016,43.3653288043899,54.4556962025316,"NPL"
"112","Netherlands",17.2316,0.934,6.2363695902037,0.19,"never",0.868954105024712,0.9149,52.5,5.75,255,6.20799373236466,0,0,"NLD"
"113","New Zealand",4.841,0.921,2.94443897916644,0.16,"never",0.881060808074732,0.86538,-41,174,232,1.64175451391064,0,0,"NZL"
"114","Nicaragua",6.4655,0.651,3.98898404656427,0.05,"current",0.9253846154,0.58522,13,-85,234,3.1961146842732,50.392463486719,54.4556962025316,"NIC"
"115","Niger",22.4429,0.377,2.89037175789616,0.03,"current",0.6772727273,0.16425,16,8,236,1.13752093623321,36.8813578841089,54.4556962025316,"NER"
"116","Nigeria",195.8747,0.534,5.37063802812766,0.03,"current",0.5181818182,0.50344,10,8,238,1.78128298343268,15.0272727278,29,"NGA"
"117","North Macedonia",2.083,0.759,4.4188406077966,0.14,"current",0.9528,0.57963,41.8333,22,239,6.44014915747796,66.696,70,"MKD"
"118","Norway",5.3119,0.954,2.70805020110221,0.17,"interrupted",0.9281818182,0.82248,62,10,247,4.01363018064295,57.5472727284,62,"NOR"
"119","Oman",4.8295,0.834,2.77258872223978,0.02,"current",0.9366666667,0.84539,21,57,230,5.62418829805096,51.0068354448532,54.4556962025316,"OMN"
"120","Pakistan",212.215,0.56,5.61677109766657,0.04,"current",0.7325,0.36666,30,70,243,3.51866534824293,30.765,42,"PAK"
"121","Panama",4.1769,0.795,4.02535169073515,0.08,"current",0.951025641,0.67709,9,-80,250,6.53354271437808,67.522820511,71,"PAN"
"122","Papua New Guinea",8.6063,0.543,2.94443897916644,0.03,"current",0.7515,0.13169,-6,147,112,-0.206584344153938,40.9234556962025,54.4556962025316,"PNG"
"123","Paraguay",6.9561,0.724,2.89037175789616,0.06,"current",0.7679487179,0.61585,-23,-58,240,5.4299817480595,41.8191820810861,54.4556962025316,"PRY"
"124","Peru",31.9893,0.759,3.2188758248682,0.08,"current",0.8438461538,0.77907,-10,-76,241,7.00274626704658,63.288461535,75,"PER"
"125","Philippines",106.6519,0.712,5.8805329864007,0.05,"current",0.8114634146,0.46907,13,122,288,4.29640292416804,55.9909756074,69,"PHL"
"126","Poland",37.9748,0.872,4.82028156560504,0.18,"current",0.9427906977,0.60058,52,20,249,5.60762576146073,61.2813953505,65,"POL"
"127","Portugal",10.2838,0.85,4.71849887129509,0.22,"interrupted",0.8033333333,0.65211,39.5,-8,244,5.79535696117908,40.9699999983,51,"PRT"
"128","Qatar",2.7817,0.848,5.48063892334199,0.01,"current",0.8863157895,0.99135,25.5,51.25,233,4.43225886376032,48.264943372519,54.4556962025316,"QAT"
"129","Romania",19.4661,0.816,4.44265125649032,0.18,"current",0.9778125,0.53998,46,25,239,6.12804915403588,89.95875,92,"ROU"
"130","Russia",144.4781,0.824,2.19722457733622,0.15,"current",0.9415151515,0.74433,60,100,242,5.42764396676233,70.6136363625,75,"RUS"
"131","Rwanda",12.3019,0.536,6.21260609575152,0.03,"current",0.8872727273,0.17211,-2,30,170,1.29690876777673,56.7854545472,64,"RWA"
"132","San Marino",0.0338,0.961,6.33327962813969,0.189548564658763,"never",0.872686903638516,0.97226,43.7667,12.4167,258,7.12496409477653,0,0,"SMR"
"133","Sao Tome and Principe",0.211,0.609,5.39362754635236,0.03,"current",0.9214705882,0.72803,1,7,199,4.32848586774585,50.1793224105873,54.4556962025316,"STP"
"134","Saudi Arabia",33.6999,0.857,2.77258872223978,0.03,"current",0.8744117647,0.83844,25,45,237,5.12315412534829,45.4694117644,52,"SAU"
"135","Senegal",15.8544,0.514,4.40671924726425,0.03,"current",0.87,0.47192,14,-14,229,3.02956654406165,29.58,34,"SEN"
"136","Serbia",6.9826,0.799,4.38202663467388,0.18,"current",0.8963888889,0.56092,44,21,241,4.97329368010089,48.8134810132633,54.4556962025316,"SRB"
"137","Sierra Leone",7.6502,0.438,4.66343909411207,0.03,"current",0.7605714286,0.42055,8.5,-11.5,207,2.26933330191662,22.817142858,30,"SLE"
"138","Singapore",5.6387,0.935,8.98130449495713,0.11,"current",0.9604651163,1,1.3667,103.8,240,1.60255096768753,67.232558141,70,"SGP"
"139","Slovakia",5.4468,0.857,4.72738781871234,0.16,"interrupted",0.9569565217,0.53726,48.6667,19.5,233,4.53938244545009,56.4604347803,59,"SVK"
"140","Slovenia",2.0739,0.902,4.63472898822964,0.2,"interrupted",0.9657142857,0.54541,46,15,247,5.95142378615302,56.0114285706,58,"SVN"
"141","Somalia",15.0082,0.285,3.17805383034795,0.03,"current",0.401875,0.44971,10,49,222,1.96423211606082,21.8843829113924,54.4556962025316,"SOM"
"142","South Africa",57.7796,0.705,3.87120101090789,0.05,"current",0.8094117647,0.66355,-29,24,234,5.85882975709207,38.0423529409,47,"ZAF"
"143","Spain",46.7965,0.893,4.54329478227,0.19,"interrupted",0.869871355691278,0.80321,40,-4,258,6.76986885387121,13.9179416910605,16,"ESP"
"144","Sri Lanka",21.67,0.78,5.84643877505772,0.1,"current",0.8769047619,0.18476,7,81,233,0.984514194998152,47.7524593125798,54.4556962025316,"LKA"
"145","Sudan",41.8015,0.508,3.218876,0.04,"current",0.66,0.34642,15,30,248,3.28457391888694,29.04,44,"SDN"
"146","Suriname",0.576,0.724,1.38629436111989,0.07,"current",0.846999585158761,0.6606,4,-56,227,5.28784606668074,46.1239520930758,54.4556962025316,"SUR"
"147","Sweden",10.1752,0.937,3.2188758248682,0.2,"interrupted",0.1702564103,0.87431,62,15,251,6.40652780928487,5.9589743605,35,"SWE"
"148","Switzerland",8.5132,0.946,5.37527840768417,0.19,"interrupted",0.21,0.73797,47,8,256,5.98075334330004,5.67,27,"CHE"
"149","Syria",16.9063,0.549,4.52178857704904,0.05,"current",0.8561538462,0.54162,35,38,232,3.01585808350284,46.6224537512962,54.4556962025316,"SYR"
"150","Taiwan*",23.8168,0.911,6.511745,0.1494,"current",0.9282,0.755,23.5,121,274,-1.22448106495729,51.051,55,"TWN"
"151","Tajikistan",9.1008,0.656,4.18965474202643,0.03,"current",0.9393333333,0.27134,39,71,198,2.23428893474364,51.1520506310962,54.4556962025316,"TJK"
"152","Tanzania",56.3183,0.538,4.15888308335967,0.03,"current",0.8979487179,0.33776,-6,35,230,-0.986497089011707,40.4076923055,45,"TZA"
"153","Thailand",69.4285,0.765,4.91265488573605,0.12,"current",0.887804878,0.49949,15,100,260,-0.145952883815966,38.175609754,43,"THA"
"154","Togo",7.8891,0.513,4.97673374242057,0.03,"current",0.81375,0.41702,8,1.1667,234,2.04539180426289,44.3133227848101,54.4556962025316,"TGO"
"155","Trinidad and Tobago",1.3899,0.799,5.6021188208797,0.11,"current",0.866595226371597,0.53184,11,-61,236,4.38926706918652,47.1910463778558,54.4556962025316,"TTO"
"156","Tunisia",11.5652,0.739,4.30406509320417,0.08,"current",0.8915384615,0.68945,34,9,242,5.31204009178836,36.5530769215,41,"TUN"
"157","Turkey",82.3197,0.807,4.67282883446191,0.08,"current",0.726097561,0.75143,39,35,244,4.94010037761917,49.374634148,68,"TUR"
"158","Uganda",42.7231,0.528,5.36129216570943,0.02,"current",0.8645714286,0.23774,1,32,115,1.22199398485832,28.5308571438,33,"UGA"
"159","Ukraine",44.6225,0.75,4.34380542185368,0.16,"current",0.92,0.69352,49,32,248,5.40245577880285,69,75,"UKR"
"160","United Arab Emirates",9.631,0.866,4.91265488573605,0.01,"current",0.8236111111,0.86522,24,54,241,4.00788994396744,44.8503164550911,54.4556962025316,"ARE"
"161","United Kingdom",66.4603,0.92,5.61677109766657,0.18,"interrupted",0.3676923077,0.83398,54,-2,255,6.66289409569558,19.1200000004,52,"GBR"
"162","Uruguay",3.4493,0.808,2.99573227355399,0.15,"current",0.9597368421,0.95334,-33,-56,233,2.93621595798979,38.389473684,40,"URY"
"163","US",326.6875,0.92,3.58351893845611,0.16,"never",0.882236510667428,0.82256,38,-97,261,6.62495229898057,0,0,"USA"
"164","Uzbekistan",32.9554,0.71,4.34380542185368,0.04,"current",0.97,0.50478,41,64,234,2.89843562175599,80.51,83,"UZB"
"165","Venezuela",28.8702,0.726,3.49650756146648,0.07,"current",0.8860526316,0.88208,8,-66,234,3.38360220731601,48.2506129258633,54.4556962025316,"VEN"
"166","Vietnam",95.5404,0.693,5.73009978297357,0.07,"current",0.8747222222,0.35919,16,106,108,-1.00420113319171,30.615277777,35,"VNM"
"167","West Bank and Gaza",4.5691,0.69,6.63200177739563,0.03,"current",0.97,0.76164,32,35.25,235,4.81750948217754,52.8220253164557,54.4556962025316,"PSE"
"168","Yemen",28.4987,0.463,3.98898404656427,0.03,"current",0.5497435897,0.36642,15,48,200,3.05536998583168,29.9366699099924,54.4556962025316,"YEM"
"169","Zambia",17.3518,0.591,3.13549421592915,0.02,"current",0.918125,0.43521,-15,30,228,3.01277180952402,49.9971360759494,54.4556962025316,"ZMB"
"170","Zimbabwe",14.439,0.563,3.61091791264422,0.03,"current",0.8775,0.32209,-20,30,238,2.87914320590614,47.7848734177215,54.4556962025316,"ZWE"
